,Date,Symbol,ShortVolume,ShortExemptVolume,TotalVolume,Market,NetShort,CumNetShort
3055,20200102,GME,872127.0,8472.0,1185904.0,Q,-575294.0,-575294.0
3042,20200103,GME,520156.0,11999.0,832247.0,Q,-232063.0,-807357.0
3023,20200106,GME,498788.0,20569.0,859426.0,Q,-179288.0,-986645.0
3009,20200107,GME,604854.0,6372.0,1908324.0,Q,685872.0,-300773.0
2997,20200108,GME,746989.0,26168.0,1480915.0,Q,-65399.0,-366172.0
3001,20200109,GME,477658.0,2319.0,698881.0,Q,-261073.0,-627245.0
