,Date,Symbol,ShortVolume,ShortExemptVolume,TotalVolume,Market,NetShort,CumNetShort
3119,20200102,GME,1156897.0,10920.0,1724835.0,"B,Q,N",-610799.0,-610799.0
3115,20200103,GME,832325.0,12001.0,1346908.0,"B,Q,N",-341744.0,-952543.0
3089,20200106,GME,701807.0,20584.0,1199606.0,"B,Q,N",-245176.0,-1197719.0
3073,20200107,GME,962592.0,7363.0,2443567.0,"B,Q,N",503657.0,-694062.0
3072,20200108,GME,1279359.0,26196.0,2338618.0,"B,Q,N",-272492.0,-966554.0
3067,20200109,GME,628027.0,2400.0,965609.0,"B,Q,N",-295245.0,-1261799.0
