,Date,Symbol,ShortVolume,ShortExemptVolume,TotalVolume,Market,NetShort,CumNetShort
1031,20200102,GME,8384.0,0.0,11517.0,B,-5251.0,-5251.0
895,20200103,GME,5911.0,0.0,8472.0,B,-3350.0,-8601.0
960,20200106,GME,4185.0,0.0,20805.0,B,12435.0,3834.0
932,20200107,GME,5766.0,0.0,11922.0,B,390.0,4224.0
982,20200108,GME,2503.0,0.0,4795.0,B,-211.0,4013.0
976,20200109,GME,1846.0,0.0,2616.0,B,-1076.0,2937.0
